formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
AlAs,1.686999999999999,-0.619637686249999,4,91.25387576035061,3.708645610521947,22.813468940087652,2,1.895,0.5700000000000001,50.9515693,3.5,14.0
AlAuO2,0.5888,-2.224651209999999,8,88.84398076536914,9.567555077512319,11.105497595671142,3,2.53,1.8299999999999998,79.98250253333333,3.6666666666666665,13.333333333333334
AlBN2,3.0501,-1.161681334999999,4,32.81759318034103,3.3297180390946375,8.204398295085257,3,2.23,1.43,17.266412866666666,2.3333333333333335,13.666666666666666
AlBiO3,0.641099999999999,-1.688248212,10,147.97103559945393,6.37323246743538,14.797103559945393,3,2.356666666666667,1.8299999999999998,83.98711286666666,3.6666666666666665,14.666666666666666
AlBiO3,1.585999999999999,-2.432236615,5,54.31911150734789,8.680681459553206,10.863822301469579,3,2.356666666666667,1.8299999999999998,83.98711286666666,3.6666666666666665,14.666666666666666
AlBiO3,2.977899999999999,-2.5005107850000012,10,113.6752137295987,8.296037257213657,11.36752137295987,3,2.356666666666667,1.8299999999999998,83.98711286666666,3.6666666666666665,14.666666666666666
AlCoF5,3.2098,-3.164929726428571,7,84.60269949856604,3.5507463393318695,12.086099928366577,3,2.49,2.37,34.971045600000004,3.0,13.0
AlCoO3,2.5603,-2.309915378999999,10,88.02147690236615,5.052577300495447,8.802147690236614,3,2.31,1.8299999999999998,33.971377866666664,3.0,12.666666666666666
AlCoO3,0.8939,-2.225202081999999,10,93.40382959355365,4.761424859004639,9.340382959355365,3,2.31,1.8299999999999998,33.971377866666664,3.0,12.666666666666666
AlCrF5,2.4445,-3.410629022142856,7,83.17713692007524,3.4731107485390544,11.88244813143932,3,2.4166666666666665,2.37,32.658680600000004,3.0,12.0
AlCuO2,1.8148,-2.417624361249986,8,79.06978600731827,5.146334206549882,9.883723250914784,3,2.3166666666666664,1.8299999999999998,35.50897953333333,3.0,13.333333333333334
